mitogenome_id;group;species;taxonomy;geo_loc_name
NC_061037.1;all_insects;Camponotus japonicus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","Formicinae","Camponotus"];None
NC_015075.1;all_insects;Pristomyrmex punctatus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","Myrmicinae","Pristomyrmex"];Japan: Gifu; Kii-Nagashima
NC_035883.1;all_insects;Apis mellifera sahariensis;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Apoidea","Anthophila","Apidae","Apis"];Algeria
NC_077662.1;all_insects;Pachycondyla annamita;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","Ponerinae","Ponerini","Pachycondyla"];None
NC_057193.1;all_insects;Ceratina okinawana;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Apoidea","Anthophila","Apidae","Ceratina","Ceratinidia"];China
NC_057612.1;all_insects;Allantus togatus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Tenthredinoidea","Tenthredinidae,"Allantinae","Allantus"];None
NC_041075.1;all_insects;Dolichoderus sibiricus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","Dolichoderinae","Dolichoderus"];South Korea
NC_068101.1;all_insects;Abia niui;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Tenthredinoidea","Cimbicidae","Abia"];China
NC_084266.1;all_insects;Anagyrus galinae;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Proctotrupomorpha","Chalcidoidea","Encyrtidae","Tetracneminae","Anagyrus"];None
NC_084192.1;all_insects;Cheiloneurus chinensis;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Proctotrupomorpha","Chalcidoidea","Encyrtidae","Encyrtinae","Cheiloneurus"];None
NC_080216.1;all_insects;Pheidole nodus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","Myrmicinae","Pheidole"];China
NC_059862.1;all_insects;Telenomus remus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Proctotrupomorpha","Platygastroidea","Scelionidae","Telenominae","Telenomus"];China
NC_034003.1;all_insects;Vespa orientalis;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Vespoidea","Vespidae","Vespinae","Vespa"];Jordan: Maru field station; Amman
NC_068223.1;all_insects;Ooencyrtus plautus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Proctotrupomorpha","Chalcidoidea","Encyrtidae","Encyrtinae","Ooencyrtus"];None
NC_080222.1;all_insects;Pheidole taipoana;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","Myrmicinae","Pheidole"];China
NC_066199.1;all_insects;Nasonia giraulti;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Proctotrupomorpha","Chalcidoidea","Pteromalidae","Pteromalinae","Nasonia"];None
NC_072299.1;all_insects;Gotra octocincta;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Ichneumonoidea","Ichneumonidae,"Cryptinae","Mesostenina","Gotra"];China
NC_067798.1;all_insects;Athalia scapulata;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Tenthredinoidea","Athaliidae","Athalia"];China
NC_057084.1;all_insects;Seladonia aeraria;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Apoidea","Anthophila","Halictidae","Halictinae","Halictini","Seladonia"];None
NC_067710.1;all_insects;Megaxyela euchroma;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Xyeloidea","Xyelidae","Megaxyela"];China
